1	1	1
2	1	2
3	1	2
4	20	44
5	20	53
6	42	163
7	60	370
8	102	592
9	111	769
10	132	952
11	151	1060
12	171	1269
13	182	1489
14	223	1861
15	380	3080
16	538	4106
17	799	5694
18	1091	7177
19	1387	8636
20	1873	10647
21	2894	14684
22	3891	17966
23	4691	20337
24	5944	26288
25	7187	29515
26	7875	31103
27	8519	32513
28	9326	34108
29	9967	35623
30	10683	37190
31	11567	39081
32	12351	40713
33	13081	42334
34	13723	43955
35	14294	45353
36	14804	46701
37	15887	49348
38	17004	52237
39	18077	55148
40	18729	56827
41	19313	58299
42	19786	59462
43	20191	60607
44	20947	62626
45	21828	65268
46	22476	67310
47	23179	69608
48	23803	71741
49	24306	73340
50	24656	74548
51	25276	76564
52	25959	78881
53	26633	81553
54	27231	84021
55	27664	85972
56	28007	87736
57	28245	89144
58	28626	90987
59	28970	92829
60	29232	94442
61	29626	96801
62	29884	98610
63	30097	100272
64	30240	101497
65	30426	102931
66	30708	105242
67	30905	107466
68	31087	109402
69	31294	111342
70	31384	112663
71	31472	113647
72	31611	115572
73	31792	118022
74	31943	120046
75	32097	122105
76	32224	124045
77	32323	125371
78	32402	126496
79	32517	128363
80	32673	131034
81	32767	133384
82	32881	136618
83	32968	139160
84	33049	141483
85	33107	143178
86	33186	145385
87	33293	148651
88	33349	151854
89	33429	155242
90	33481	158532
91	33552	161908
92	33633	165091
93	33691	168344
94	33767	171868
95	33854	176084
96	33924	180063
97	33954	183225
98	34000	186561
99	34035	189138
100	34076	192442
101	34106	195936
102	34175	200890
103	34253	205989
104	34290	209388
105	34327	212982
106	34358	216186
107	34385	219375
108	34409	223373
109	34455	227894
110	34486	231518
111	34521	235397
112	34557	239191
113	34581	242035
114	34597	244355
115	34642	248966
116	34700	253093
117	34748	257613
118	34780	260700
119	34798	263260
120	34838	266962
121	34866	270692
122	34912	275161
123	34980	279988
124	35020	283425
125	35043	287944
126	35084	291583
127	35106	295169
128	35154	298556
129	35183	303399
130	35226	308581
131	35260	312874
132	35297	316832
133	35327	320070
134	35366	323921
135	35394	327519
